"correo","sexo","compañeros","hablar","estresarme","me importan los demas","desordenado","comodidad","malas palabras","empatico","social","conversaciones","orden y limpieza","divertirme","estudiar con otros","videojuegos","leer","deportes","anime","futbol","maquillaje","musica","acostarme tarde","Describase a si mismo","objetivo","puntuacion"
"lorem 99","F",2,1,3,4,3,5,5,5,3,3,4,5,3,5,5,5,1,5,2,5,3,"lorem",1,3.5454545454545454
"lorem 100","F",1,2,4,3,2,5,5,2,5,3,5,1,1,2,4,1,1,3,3,1,5,"lorem",5,2.909090909090909
"lorem 101","M",5,1,2,2,1,1,5,2,2,3,5,3,1,5,5,4,4,3,5,1,2,"lorem",1,2.8636363636363638
"lorem 102","M",1,2,3,1,1,1,1,4,2,2,3,4,1,3,5,2,5,3,2,5,5,"lorem",3,2.6818181818181817
"lorem 103","M",1,5,5,2,4,3,4,1,3,2,3,1,2,2,2,3,1,5,1,4,2,"lorem",3,2.6818181818181817
"lorem 104","M",1,1,2,3,4,5,3,5,1,5,4,4,1,5,1,5,1,2,1,1,2,"lorem",1,2.6363636363636362
"lorem 105","M",4,5,1,1,3,3,4,4,2,3,5,4,3,2,3,2,1,5,1,4,2,"lorem",5,3.0454545454545454
"lorem 106","F",5,3,3,2,4,1,2,5,4,3,1,2,5,5,4,1,1,3,1,2,2,"lorem",5,2.909090909090909
"lorem 107","M",1,2,2,2,4,5,1,1,2,2,1,2,5,3,4,4,2,1,4,1,5,"lorem",3,2.590909090909091
"lorem 108","M",3,5,1,3,2,5,1,2,5,3,2,5,2,3,3,5,2,3,1,2,1,"lorem",4,2.8636363636363638
"lorem 109","F",5,5,3,5,1,3,2,3,5,5,4,2,2,5,4,1,2,1,5,1,1,"lorem",1,3
"lorem 110","F",5,3,3,5,4,5,1,5,2,5,2,5,1,5,4,4,2,2,4,2,3,"lorem",4,3.4545454545454546
"lorem 111","F",1,2,2,3,4,1,2,2,4,2,1,3,3,3,3,5,5,4,2,4,4,"lorem",5,2.9545454545454546
"lorem 112","F",5,1,5,2,1,5,3,2,1,5,5,1,2,1,2,1,5,4,4,1,5,"lorem",3,2.909090909090909
"lorem 113","M",2,5,5,5,5,4,2,5,4,1,3,4,5,5,2,1,1,1,3,1,2,"lorem",1,3.0454545454545454
"lorem 114","F",5,1,3,2,5,1,2,4,5,5,4,1,4,2,4,2,5,2,1,2,3,"lorem",3,3
"lorem 115","M",4,1,3,4,1,1,1,1,3,5,5,3,1,5,1,1,5,4,2,4,1,"lorem",2,2.6363636363636362
"lorem 116","F",3,3,4,3,4,3,4,3,3,3,1,2,3,5,3,1,2,2,2,4,4,"lorem",4,3
"lorem 117","F",2,1,5,5,4,3,5,1,4,1,5,2,1,2,3,3,5,2,3,5,2,"lorem",4,3.090909090909091
"lorem 118","F",2,2,5,2,5,3,4,2,3,3,5,4,5,4,1,1,1,4,2,2,3,"lorem",5,3.090909090909091
"lorem 119","F",2,1,5,1,1,1,4,3,1,1,2,5,1,3,4,2,1,1,1,1,2,"lorem",1,2
"lorem 120","M",1,4,4,1,5,1,2,3,2,1,1,1,5,3,1,4,3,5,5,3,5,"lorem",5,2.9545454545454546
"lorem 121","M",1,1,4,5,1,3,2,5,4,4,3,1,2,4,5,2,3,1,4,5,1,"lorem",3,2.909090909090909
"lorem 122","M",4,5,4,4,2,4,3,1,2,3,4,5,5,3,4,4,4,3,3,3,2,"lorem",3,3.409090909090909
"lorem 123","M",5,1,3,5,4,2,1,1,5,5,2,1,1,3,3,5,2,4,5,3,1,"lorem",1,2.8636363636363638
"lorem 124","M",3,3,2,2,2,4,2,5,1,3,2,4,2,5,5,5,2,3,5,5,5,"lorem",4,3.3636363636363638
"lorem 125","F",3,4,3,1,2,3,4,5,3,5,5,4,1,2,2,5,5,3,4,4,5,"lorem",3,3.4545454545454546
"lorem 126","M",2,3,4,4,1,3,1,3,3,5,1,2,5,1,1,2,2,5,4,5,4,"lorem",2,2.8636363636363638
"lorem 127","M",3,3,5,3,5,3,3,1,5,4,3,4,5,2,5,5,4,1,4,1,5,"lorem",5,3.590909090909091
"lorem 128","F",5,1,5,1,5,5,3,1,1,2,2,2,5,2,3,2,5,4,2,2,1,"lorem",1,2.727272727272727
"lorem 129","F",4,3,2,3,1,3,3,5,2,4,3,4,1,1,3,2,3,3,3,4,1,"lorem",1,2.6818181818181817
"lorem 130","F",4,1,4,3,4,2,3,1,3,4,2,3,2,3,5,5,2,3,4,4,5,"lorem",5,3.272727272727273
"lorem 131","F",3,1,1,5,4,3,4,5,5,4,3,5,4,3,5,1,4,4,3,4,1,"lorem",5,3.5
"lorem 132","M",1,1,3,3,5,5,5,3,2,2,4,4,4,1,4,4,1,1,4,1,5,"lorem",4,3.0454545454545454
"lorem 133","F",3,3,2,3,2,3,4,3,5,5,1,5,3,1,3,4,5,4,1,4,2,"lorem",3,3.1363636363636362
"lorem 134","M",1,5,3,1,1,1,2,1,5,1,1,1,4,1,1,4,1,4,4,3,1,"lorem",4,2.272727272727273
"lorem 135","F",4,5,5,2,4,4,3,4,1,5,1,3,1,3,5,5,4,1,1,2,2,"lorem",2,3.0454545454545454
"lorem 136","F",3,4,1,1,3,5,1,4,2,4,2,1,1,1,1,5,2,3,2,3,2,"lorem",2,2.409090909090909
"lorem 137","F",5,2,4,1,1,4,5,1,3,3,4,4,2,2,1,4,3,2,5,3,1,"lorem",3,2.8636363636363638
"lorem 138","F",3,3,5,1,5,5,4,3,2,1,1,4,2,2,3,4,4,5,3,4,2,"lorem",2,3.090909090909091
"lorem 139","M",3,3,2,5,4,2,3,3,2,4,4,4,1,3,1,5,5,5,2,3,5,"lorem",5,3.3636363636363638
"lorem 140","M",3,3,2,4,3,1,3,5,2,5,2,4,3,5,5,3,1,2,1,4,5,"lorem",5,3.227272727272727
"lorem 141","M",3,3,2,1,4,5,1,4,1,3,1,1,5,1,4,4,5,5,5,2,1,"lorem",3,2.909090909090909
"lorem 142","M",5,2,1,2,5,4,5,5,1,5,4,4,3,4,4,2,2,5,5,2,5,"lorem",1,3.4545454545454546
"lorem 143","M",5,2,2,5,4,5,4,4,3,1,3,3,4,2,1,2,2,2,5,5,4,"lorem",3,3.227272727272727
"lorem 144","F",1,1,5,1,2,2,5,4,5,2,5,4,1,2,4,5,4,5,3,5,4,"lorem",5,3.409090909090909
"lorem 145","M",1,3,2,5,1,4,1,1,5,3,2,4,3,2,4,2,1,2,5,2,4,"lorem",5,2.8181818181818183
"lorem 146","M",3,4,5,5,2,3,5,5,1,4,4,4,3,4,4,5,4,5,4,1,3,"lorem",5,3.772727272727273
"lorem 147","F",2,1,2,1,1,3,2,3,5,1,2,4,5,2,2,3,3,5,5,2,2,"lorem",2,2.6363636363636362
"lorem 148","F",2,1,4,4,4,1,2,1,2,3,4,3,2,4,1,2,3,5,1,2,3,"lorem",4,2.6363636363636362
"lorem 149","F",5,1,3,4,1,2,3,2,1,3,2,5,2,1,5,3,2,4,2,5,5,"lorem",4,2.9545454545454546
"lorem 150","F",3,1,2,5,1,4,5,3,1,5,4,2,4,3,1,1,3,3,1,1,2,"lorem",4,2.6818181818181817
"lorem 151","M",3,2,2,5,3,1,3,5,5,5,5,4,3,3,1,1,4,3,3,2,5,"lorem",5,3.3181818181818183
"lorem 152","F",2,1,4,4,3,5,2,4,2,4,4,5,5,3,4,1,1,1,5,3,3,"lorem",4,3.1818181818181817
"lorem 153","M",1,3,4,5,1,2,1,2,1,2,2,3,1,3,4,3,1,1,1,1,4,"lorem",1,2.1363636363636362
"lorem 154","F",5,3,3,4,1,3,2,3,4,2,1,1,5,2,1,5,3,2,1,5,5,"lorem",5,3
"lorem 155","F",2,3,1,4,1,5,4,4,1,4,2,3,1,5,5,3,1,2,5,2,4,"lorem",2,2.909090909090909
"lorem 156","F",5,4,1,3,3,4,4,3,3,1,3,4,1,4,5,5,1,4,1,4,2,"lorem",5,3.1818181818181817
"lorem 157","F",2,1,1,3,1,1,5,2,2,5,5,2,3,5,5,1,3,5,2,4,4,"lorem",4,3
"lorem 158","M",5,5,2,1,3,2,1,2,5,1,1,2,4,3,5,3,4,5,3,2,2,"lorem",3,2.909090909090909
"lorem 159","M",1,4,5,2,1,4,3,3,3,5,2,3,4,1,2,1,3,4,5,3,1,"lorem",1,2.772727272727273
"lorem 160","M",4,3,3,2,5,4,5,5,5,1,3,4,3,1,4,3,5,5,3,3,1,"lorem",2,3.3636363636363638
"lorem 161","M",5,1,4,3,1,5,1,4,4,2,4,4,3,4,2,3,4,2,5,2,2,"lorem",3,3.090909090909091
"lorem 162","M",1,3,1,3,4,1,4,4,2,1,5,3,3,5,4,1,2,2,5,2,3,"lorem",1,2.727272727272727
"lorem 163","F",2,4,3,4,5,4,3,4,5,5,5,3,2,2,1,2,1,3,1,2,3,"lorem",1,2.9545454545454546
"lorem 164","M",1,3,3,2,1,2,2,3,1,1,3,4,5,1,5,4,5,5,2,5,3,"lorem",4,2.9545454545454546
"lorem 165","M",3,1,1,2,3,4,5,5,5,2,5,3,5,4,4,4,3,4,2,4,3,"lorem",2,3.3636363636363638
"lorem 166","F",2,5,2,1,1,2,1,5,3,5,1,1,5,2,3,5,5,2,5,5,1,"lorem",2,2.909090909090909
"lorem 167","F",1,4,4,5,4,5,4,5,2,5,4,4,2,3,1,1,3,1,5,4,2,"lorem",5,3.3636363636363638
"lorem 168","F",2,2,5,1,3,4,5,5,5,1,2,1,3,4,3,5,3,2,5,4,3,"lorem",4,3.272727272727273
"lorem 169","F",4,2,3,3,4,3,4,3,2,2,2,3,5,1,3,2,2,1,2,3,1,"lorem",2,2.590909090909091
"lorem 170","M",2,4,4,4,1,3,5,1,5,1,4,4,4,1,3,4,5,5,1,5,4,"lorem",3,3.3181818181818183
"lorem 171","F",5,3,1,1,5,3,1,5,4,3,3,2,2,4,1,3,2,2,5,2,3,"lorem",3,2.8636363636363638
"lorem 172","M",4,3,2,3,5,4,3,5,5,3,3,1,2,1,3,2,2,3,5,1,5,"lorem",3,3.090909090909091
"lorem 173","F",5,4,2,2,1,3,1,4,2,3,1,2,4,2,2,1,1,5,4,3,3,"lorem",1,2.5454545454545454
"lorem 174","F",5,5,1,5,4,3,1,5,1,1,5,2,5,3,5,2,1,1,2,4,4,"lorem",4,3.1363636363636362
"lorem 175","F",1,1,4,5,2,3,2,4,4,1,5,4,2,4,5,4,3,5,1,1,5,"lorem",3,3.1363636363636362
"lorem 176","F",1,3,2,2,5,3,3,1,4,3,5,4,5,4,5,4,1,3,1,2,3,"lorem",4,3.090909090909091
"lorem 177","M",5,5,3,2,1,3,5,4,3,2,3,5,4,2,1,2,4,1,2,5,3,"lorem",5,3.1818181818181817
"lorem 178","M",5,1,2,2,4,1,1,5,3,4,1,4,3,1,1,3,4,3,2,1,4,"lorem",5,2.727272727272727
"lorem 179","M",3,4,5,5,4,2,2,2,5,5,3,1,2,2,1,4,1,1,2,3,2,"lorem",2,2.772727272727273
"lorem 180","M",5,4,2,1,1,4,2,5,4,5,4,4,2,2,2,2,4,3,3,5,2,"lorem",3,3.1363636363636362
"lorem 181","M",2,2,3,5,5,1,3,2,4,3,5,1,3,3,5,1,2,3,2,3,3,"lorem",4,2.9545454545454546
"lorem 182","F",3,5,4,1,3,5,5,4,5,2,1,3,5,1,2,5,1,3,3,2,2,"lorem",4,3.1363636363636362
"lorem 183","M",1,4,5,4,5,2,5,4,5,2,1,4,1,2,2,3,4,1,2,4,2,"lorem",1,2.909090909090909
"lorem 184","M",3,2,2,4,1,2,4,2,5,2,2,1,2,2,1,5,3,4,3,3,2,"lorem",5,2.727272727272727
"lorem 185","F",1,1,4,2,5,5,2,3,5,2,1,2,2,1,1,2,1,4,4,1,3,"lorem",2,2.4545454545454546
"lorem 186","F",2,3,4,2,1,4,4,5,3,2,2,1,2,1,4,5,4,5,3,2,4,"lorem",4,3.0454545454545454
"lorem 187","F",2,1,5,2,2,1,2,4,4,2,3,5,4,4,3,3,5,3,2,2,3,"lorem",3,2.9545454545454546
"lorem 188","F",1,5,4,4,5,5,1,5,2,5,4,2,4,1,5,1,3,2,4,4,1,"lorem",3,3.227272727272727
"lorem 189","M",5,3,4,5,4,3,5,1,4,4,3,3,1,3,5,3,3,3,4,3,4,"lorem",1,3.3636363636363638
"lorem 190","F",3,3,1,3,1,3,3,3,3,1,1,2,5,3,4,4,4,5,4,1,4,"lorem",4,2.9545454545454546
"lorem 191","M",2,4,5,3,3,2,1,1,4,2,3,2,3,1,3,3,1,4,3,3,5,"lorem",1,2.6818181818181817
"lorem 192","F",2,2,2,1,2,2,2,2,2,4,1,5,5,5,5,4,1,1,5,5,3,"lorem",4,2.9545454545454546
"lorem 193","F",3,3,2,1,1,1,3,2,5,4,5,3,3,2,4,3,1,4,5,3,3,"lorem",1,2.8181818181818183
"lorem 194","F",5,4,2,1,4,1,5,2,3,5,5,2,5,3,5,3,2,2,2,4,1,"lorem",3,3.1363636363636362
"lorem 195","F",5,1,1,3,3,4,4,2,2,1,2,1,5,3,3,1,5,2,2,5,1,"lorem",1,2.590909090909091
"lorem 196","M",2,4,2,3,1,2,4,5,1,3,3,5,4,2,3,5,5,4,1,4,3,"lorem",2,3.090909090909091
"lorem 197","M",2,2,5,3,1,4,1,1,2,5,4,3,1,5,1,1,4,5,4,5,3,"lorem",3,2.9545454545454546
"lorem 198","M",5,3,4,4,3,5,2,2,4,5,3,4,5,2,2,1,2,4,5,5,3,"lorem",4,3.5
"lorem 199","M",2,1,4,5,2,3,3,4,2,5,1,2,2,2,2,5,2,3,1,3,4,"lorem",3,2.772727272727273
"lorem 200","M",1,5,3,4,3,4,2,1,2,2,4,2,3,2,1,4,3,4,4,1,1,"lorem",2,2.6363636363636362
"lorem 201","F",5,2,2,4,1,2,2,2,3,2,3,3,5,4,4,1,4,1,3,5,4,"lorem",1,2.8636363636363638
"lorem 202","M",4,3,2,5,1,3,3,3,3,1,4,4,2,3,1,1,3,5,4,4,3,"lorem",5,3.0454545454545454
"lorem 203","M",3,5,1,5,4,1,5,1,1,2,2,4,5,5,5,2,4,2,4,4,1,"lorem",2,3.090909090909091
"lorem 204","F",4,5,4,1,3,5,5,4,4,1,1,2,2,4,5,1,5,4,3,4,4,"lorem",4,3.409090909090909
"lorem 205","F",3,2,2,5,3,1,3,5,4,5,3,4,5,3,5,2,4,4,4,2,2,"lorem",4,3.409090909090909
"lorem 206","F",4,5,1,2,4,3,5,3,3,1,2,3,4,1,2,3,5,4,3,5,1,"lorem",5,3.1363636363636362
"lorem 207","F",3,3,3,1,1,2,2,5,1,3,2,4,2,5,2,1,5,4,3,3,4,"lorem",2,2.772727272727273
